date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2017-06-02,2.2353,0.6309131997310766,1.482,153.0705,153.0705,"Jun 2, 17",150.5497,151.2291,27770715,27770715,152.2566
2017-06-05,-1.4967,0.61496531377423,-0.978,151.5737,152.0858,"Jun 5, 17",151.1109,151.9775,25331662,25331662,151.5331
2017-06-06,0.51204,0.6204215620361897,0.338,152.0858,153.425,"Jun 6, 17",151.426,151.5442,26624926,26624926,152.2944
2017-06-07,0.905918,0.630073613003792,0.596,152.9917,153.5924,"Jun 7, 17",152.1153,152.647,21069647,21069647,152.9645
2017-06-08,-0.374183,0.6260866415145805,-0.245,152.6175,153.1591,"Jun 8, 17",152.0365,152.8735,21250798,21250798,152.5129
2017-06-09,-5.918,0.5630323997370432,-3.878,146.6995,152.8144,"Jun 9, 17",143.7848,152.8144,64882657,64882657,147.8775
2017-06-12,-3.5055,0.5256825104921703,-2.39,143.194,143.8537,"Jun 12, 17",140.3285,143.5091,72307330,72307330,142.0658
2017-06-13,1.1521,0.5379577372498422,0.805,144.3461,145.1929,"Jun 13, 17",142.9281,144.9074,34165445,34165445,144.1162
2017-06-14,-1.4081,0.5229549190938855,-0.976,142.938,145.2422,"Jun 14, 17",141.6382,145.2422,31531232,31531232,143.1573
2017-06-15,-0.856683,0.5138270770981411,-0.599,142.0813,142.2682,"Jun 15, 17",140.0331,141.1261,32165373,32165373,141.3135
2017-06-16,-1.9891,0.49263390502654597,-1.4,140.0922,142.2881,"Jun 16, 17",140.0233,141.5791,50361093,50361093,140.8491
2017-06-19,4.0077,0.5353345614597728,2.861,144.0999,144.4938,"Jun 19, 17",141.4609,141.4609,32541404,32541404,143.515
2017-06-20,-1.3096,0.5213812267129221,-0.909,142.7903,144.6218,"Jun 20, 17",142.7213,144.6218,24900073,24900073,143.225
2017-06-21,0.846837,0.5304035876350611,0.593,143.6371,143.8334,"Jun 21, 17",142.3964,143.2925,21265751,21265751,143.3101
2017-06-22,-0.236328,0.5278858929185974,-0.165,143.4008,144.4544,"Jun 22, 17",142.8985,143.5386,19106294,19106294,143.5232
2017-06-23,0.640051,0.5347048714143093,0.446,144.0408,144.9074,"Jun 23, 17",142.8887,142.9084,35439389,35439389,144.0852
2017-06-26,-0.45296,0.5298793786632031,-0.314,143.5879,146.0102,"Jun 26, 17",143.1546,144.9172,25692361,25692361,144.2495
2017-06-27,-2.058,0.5079521009379292,-1.433,141.5299,143.9227,"Jun 27, 17",141.4216,142.7903,24761891,24761891,142.5912
2017-06-28,2.0679,0.5299837942714188,1.461,143.5977,143.8734,"Jun 28, 17",140.9687,142.2782,22082432,22082432,142.8046
2017-06-29,-2.1171,0.5074268265006815,-1.474,141.4806,142.9084,"Jun 29, 17",140.1021,142.4949,31499368,31499368,141.413
2017-06-30,0.334795,0.5109940046262509,0.237,141.8154,142.741,"Jun 30, 17",141.5791,142.2388,23024107,23024107,142.159
2017-07-03,-0.512041,0.5055388218296812,-0.361,141.3034,143.0759,"Jul 3, 17",140.9095,142.6623,14277848,14277848,141.7793
